24.11.2021 12:36:29;39.13 31.44 27.87 24.94 21.94 19.69 17.62 17.37 14.63 13.31
24.11.2021 12:36:35;39.38 31.62 28.06 25.12 22.06 19.75 17.69 17.44 14.63 13.31
24.11.2021 12:36:42;39.63 31.81 28.25 25.31 22.25 19.87 17.75 17.50 14.69 13.31
24.11.2021 12:36:48;39.88 32.06 28.44 25.50 22.37 20.00 17.87 17.56 14.75 13.38
24.11.2021 12:36:54;40.13 32.31 28.62 25.62 22.50 20.06 17.94 17.62 14.75 13.44
24.11.2021 12:37:01;40.38 32.50 28.81 25.75 22.62 20.19 18.06 17.69 14.81 13.44
24.11.2021 12:37:07;40.56 32.69 29.00 25.87 22.75 20.31 18.12 17.75 14.94 13.50
24.11.2021 12:37:13;40.81 32.88 29.19 26.12 22.87 20.44 18.25 17.81 14.94 13.56
24.11.2021 12:37:20;41.00 33.13 29.44 26.25 23.00 20.56 18.31 17.87 15.00 13.63
24.11.2021 12:37:26;41.25 33.31 29.56 26.44 23.19 20.69 18.44 18.00 15.06 13.69
24.11.2021 12:37:32;41.50 33.50 29.75 26.56 23.25 20.81 18.50 18.06 15.19 13.75
24.11.2021 12:37:39;41.69 33.69 29.94 26.75 23.44 20.87 18.62 18.19 15.25 13.75
24.11.2021 12:37:45;41.94 33.88 30.12 26.87 23.56 21.00 18.75 18.25 15.31 13.81
24.11.2021 12:37:51;42.19 34.06 30.31 27.06 23.69 21.19 18.81 18.31 15.31 13.88
24.11.2021 12:37:57;42.38 34.31 30.50 27.19 23.81 21.25 18.94 18.37 15.44 13.88
24.11.2021 12:38:04;42.63 34.50 30.69 27.37 23.94 21.37 19.00 18.44 15.50 13.94
24.11.2021 12:38:10;42.81 34.69 30.87 27.50 24.12 21.50 19.12 18.56 15.56 14.06
24.11.2021 12:38:16;43.06 34.88 31.00 27.69 24.25 21.56 19.25 18.62 15.63 14.13
24.11.2021 12:38:23;43.25 35.06 31.19 27.87 24.37 21.69 19.31 18.69 15.69 14.13
24.11.2021 12:38:29;43.44 35.25 31.37 28.00 24.50 21.87 19.44 18.75 15.75 14.13
24.11.2021 12:38:35;43.69 35.44 31.50 28.12 24.62 21.94 19.50 18.87 15.81 14.25
24.11.2021 12:38:42;43.88 35.63 31.69 28.31 24.75 22.06 19.62 18.94 15.88 14.31
24.11.2021 12:38:48;44.06 35.81 31.87 28.44 24.94 22.19 19.75 19.06 15.94 14.38
24.11.2021 12:38:54;44.25 35.94 32.06 28.56 25.06 22.31 19.81 19.12 16.06 14.44
24.11.2021 12:39:01;44.44 36.19 32.25 28.75 25.19 22.44 19.94 19.19 16.12 14.50
24.11.2021 12:39:07;44.69 36.31 32.38 28.87 25.31 22.50 20.06 19.31 16.19 14.56
24.11.2021 12:39:13;44.88 36.50 32.56 29.06 25.44 22.62 20.12 19.44 16.25 14.63
24.11.2021 12:39:20;45.00 36.69 32.69 29.25 25.56 22.75 20.25 19.50 16.37 14.69
24.11.2021 12:39:26;45.25 36.88 32.88 29.37 25.69 22.87 20.37 19.56 16.44 14.75
24.11.2021 12:39:32;45.38 37.00 33.00 29.50 25.81 23.00 20.50 19.69 16.50 14.81
24.11.2021 12:39:39;45.56 37.19 33.19 29.62 25.94 23.12 20.56 19.75 16.56 14.88
24.11.2021 12:39:45;45.81 37.38 33.38 29.81 26.12 23.25 20.69 19.87 16.69 14.94
24.11.2021 12:39:51;45.94 37.50 33.50 29.94 26.25 23.37 20.81 19.94 16.75 15.00
24.11.2021 12:39:58;46.13 37.69 33.69 30.12 26.37 23.44 20.87 20.00 16.75 15.06
24.11.2021 12:40:04;46.38 37.88 33.88 30.25 26.50 23.56 21.00 20.12 16.87 15.13
24.11.2021 12:40:10;46.56 38.06 34.00 30.37 26.62 23.69 21.12 20.19 16.94 15.19
24.11.2021 12:40:17;46.69 38.25 34.13 30.50 26.75 23.81 21.19 20.25 17.06 15.25
24.11.2021 12:40:23;46.94 38.38 34.31 30.69 26.87 23.94 21.31 20.37 17.06 15.31
24.11.2021 12:40:29;47.06 38.56 34.50 30.81 27.00 24.06 21.44 20.44 17.12 15.38
24.11.2021 12:40:36;47.31 38.69 34.69 30.94 27.12 24.19 21.56 20.56 17.31 15.44
24.11.2021 12:40:42;47.44 38.88 34.81 31.12 27.25 24.31 21.62 20.62 17.31 15.50
24.11.2021 12:40:48;47.63 39.06 34.94 31.25 27.37 24.44 21.75 20.69 17.37 15.56
24.11.2021 12:40:55;47.81 39.25 35.06 31.37 27.50 24.56 21.81 20.81 17.50 15.63
24.11.2021 12:41:01;48.00 39.38 35.25 31.50 27.62 24.62 21.94 20.94 17.56 15.69
24.11.2021 12:41:07;48.13 39.56 35.44 31.69 27.75 24.75 22.06 21.00 17.62 15.75
24.11.2021 12:41:13;48.31 39.69 35.56 31.81 27.87 24.87 22.19 21.06 17.75 15.88
24.11.2021 12:41:20;48.44 39.81 35.69 31.94 28.00 24.94 22.25 21.19 17.81 15.94
24.11.2021 12:41:26;48.63 40.00 35.81 32.06 28.12 25.06 22.37 21.25 17.94 16.00
24.11.2021 12:41:32;48.75 40.13 36.00 32.19 28.25 25.19 22.50 21.37 18.00 16.06
24.11.2021 12:41:39;48.94 40.31 36.13 32.31 28.37 25.31 22.56 21.44 18.06 16.19
24.11.2021 12:41:45;49.13 40.44 36.31 32.44 28.50 25.44 22.69 21.56 18.12 16.19
24.11.2021 12:41:51;49.31 40.63 36.38 32.56 28.62 25.56 22.81 21.62 18.19 16.31
24.11.2021 12:41:58;49.44 40.75 36.56 32.75 28.75 25.69 22.87 21.75 18.31 16.31
24.11.2021 12:42:04;49.63 40.94 36.75 32.88 28.87 25.75 23.00 21.81 18.37 16.44
24.11.2021 12:42:10;49.81 41.06 36.88 33.00 29.00 25.87 23.12 21.94 18.44 16.50
24.11.2021 12:42:17;49.94 41.25 37.00 33.13 29.12 26.00 23.19 22.00 18.50 16.56
24.11.2021 12:42:23;50.06 41.38 37.13 33.25 29.25 26.12 23.31 22.06 18.56 16.62
24.11.2021 12:42:29;50.31 41.50 37.31 33.38 29.37 26.25 23.37 22.19 18.69 16.62
24.11.2021 12:42:36;50.44 41.69 37.44 33.56 29.44 26.31 23.50 22.25 18.75 16.81
24.11.2021 12:42:42;50.56 41.81 37.56 33.63 29.62 26.44 23.62 22.37 18.87 16.81
24.11.2021 12:42:48;50.75 42.00 37.69 33.81 29.69 26.56 23.75 22.44 18.94 16.87
24.11.2021 12:42:55;50.88 42.13 37.88 33.94 29.81 26.69 23.81 22.50 19.00 17.00
24.11.2021 12:43:01;51.00 42.25 38.00 34.06 29.94 26.75 23.94 22.56 19.06 17.06
24.11.2021 12:43:07;51.19 42.38 38.13 34.19 30.06 26.87 24.00 22.69 19.19 17.12
24.11.2021 12:43:14;51.31 42.56 38.25 34.31 30.19 27.00 24.12 22.81 19.25 17.19
24.11.2021 12:43:20;51.50 42.69 38.38 34.44 30.31 27.06 24.25 22.87 19.31 17.25
24.11.2021 12:43:26;51.63 42.81 38.50 34.56 30.44 27.19 24.31 22.94 19.44 17.31
24.11.2021 12:43:33;51.75 43.00 38.69 34.69 30.56 27.31 24.44 23.06 19.50 17.37
24.11.2021 12:43:39;51.94 43.13 38.81 34.81 30.62 27.44 24.56 23.19 19.62 17.50
24.11.2021 12:43:45;52.13 43.25 38.94 35.00 30.75 27.56 24.62 23.25 19.69 17.56
24.11.2021 12:43:52;52.19 43.38 39.06 35.06 30.87 27.62 24.75 23.31 19.75 17.62
24.11.2021 12:43:58;52.38 43.56 39.19 35.19 31.00 27.75 24.81 23.44 19.81 17.69
24.11.2021 12:44:04;52.50 43.69 39.38 35.31 31.12 27.81 24.94 23.50 19.94 17.75
24.11.2021 12:44:11;52.63 43.81 39.50 35.44 31.25 27.94 25.06 23.62 20.00 17.81
24.11.2021 12:44:17;52.81 43.94 39.63 35.56 31.31 28.06 25.12 23.69 20.06 17.87
24.11.2021 12:44:23;52.94 44.06 39.75 35.69 31.44 28.19 25.25 23.75 20.12 17.94
24.11.2021 12:44:30;53.06 44.19 39.88 35.81 31.56 28.31 25.31 23.87 20.25 18.06
24.11.2021 12:44:36;53.19 44.31 40.00 35.94 31.69 28.37 25.44 23.94 20.31 18.06
24.11.2021 12:44:42;53.31 44.44 40.13 36.06 31.81 28.50 25.56 24.06 20.37 18.12
24.11.2021 12:44:49;53.44 44.63 40.25 36.19 31.94 28.62 25.62 24.12 20.50 18.25
24.11.2021 12:44:55;53.63 44.75 40.38 36.31 32.00 28.69 25.75 24.19 20.56 18.31
24.11.2021 12:45:01;53.75 44.88 40.50 36.44 32.13 28.81 25.81 24.31 20.62 18.37
24.11.2021 12:45:08;53.88 45.00 40.63 36.56 32.25 28.87 25.94 24.37 20.69 18.44
24.11.2021 12:45:14;54.00 45.13 40.75 36.63 32.38 29.00 26.00 24.44 20.75 18.50
24.11.2021 12:45:20;54.13 45.25 40.88 36.75 32.44 29.12 26.12 24.56 20.81 18.56
